,book_id
1342,2976
1348,2385
1349,427
1350,1907
1351,1910
1352,1886
1353,2960
1354,2950
1355,735
1356,1826
1357,2376
1358,444
1359,2648
1362,74
1363,1881
1364,727
1367,975
1368,1623
1369,2032
1370,1048
1371,2135
1373,767
1374,1286
1376,2007
1379,1373
1380,866
1382,67
1383,1561
1384,1493
1386,2039
1387,1222
1388,1734
1389,853
1390,1569
1391,1869
1392,1427
1394,1114
1395,1520
1396,2761
1397,2163
1399,1175
1400,2642
1401,2014
1403,1465
1407,2247
1408,579
1409,2467
1412,3364
1413,1742
1414,1424
1416,2229
1418,2643
1419,549
1422,1707
1425,564
1426,1638
1427,1396
1429,1531
1430,2157
1431,2374
1432,844
1433,1305
1434,2760
1435,197
1436,1185
1437,486
1438,1266
1439,1038
1440,1466
1441,3100
1442,1338
1443,913
1444,1445
1445,2632
1446,1259
1447,1698
1448,1303
1449,2291
1450,2446
1451,1369
1455,2786
1457,2504
1459,2705
1460,2466
1461,1250
1462,626
1463,876
1464,966
1466,1193
1467,234
1468,1488
1470,679
1471,2927
1472,651
1473,261
1476,1056
1477,1548
1478,989
1479,929
1481,513
1482,1940
1483,412
1485,1775
1491,466
1494,2490
1495,2763
1496,728
1498,1635
1499,454
1500,1323
1501,2127
1502,1603
1503,1469
1505,1324
1506,2892
1508,1529
1509,1349
1510,1921
1511,1594
1512,2582
1513,422
1514,464
1515,808
1516,680
1517,720
1518,1789
1519,642
1520,3323
1521,1292
1522,1815
1524,1779
1525,3344
1526,585
1527,1669
1528,2158
1529,1655
1530,1836
1531,2325
1532,2375
1533,2078
1535,2517
1537,781
1538,519
1540,1884
1541,1583
1542,1696
1543,2471
1545,1357
1546,246
1549,2064
1550,1871
1552,2105
1553,605
1555,1382
1556,1032
1557,2850
1558,2392
1559,1880
1560,1354
1562,303
1564,2430
1566,1243
1567,1335
1568,1448
1570,2424
1571,980
1573,3456
1574,1293
1575,1840
1578,2478
1580,1097
1581,2898
1583,2370
1584,1726
1585,1670
1586,1540
1587,2854
1589,1070
1592,555
1593,746
1595,1616
1596,502
1602,1399
1604,1287
1605,1468
1606,2203
1607,1253
1608,2879
1609,1961
1610,1823
1611,548
1613,1330
1614,1996
1615,192
1617,1781
1618,3051
1620,1274
1621,835
1622,1095
1624,1829
1625,1059
1626,1247
1628,922
1629,2523
1630,473
1631,2189
1632,1516
1633,51
1634,1864
1635,1126
1636,1784
1637,832
1638,2260
1639,927
1640,803
1641,1772
1642,1653
1643,1132
1644,2223
1645,467
1646,863
1648,875
1650,2990
1651,2711
1652,1771
1653,1712
1654,775
1655,1945
1656,210
1658,1833
1659,1188
1660,392
1662,1803
1663,1013
1664,2901
1666,1839
1670,2268
1671,1744
1673,1875
1675,2044
1676,1648
1677,1659
1678,645
1681,231
1683,1652
1684,2096
1685,1631
1686,1156
1687,406
1688,449
1689,591
1690,3077
1691,2066
1692,1157
1693,711
1694,971
1695,1420
1696,1494
1697,1478
1698,1611
1699,1229
1702,800
1703,1211
1705,656
1706,2409
1707,1765
1708,981
1709,1909
1710,1254
1711,1231
1712,1230
1714,2211
1715,1715
1716,917
1718,1632
1719,1464
1720,1896
1721,3698
1723,810
1724,1689
1726,960
1728,307
1729,147
1733,2077
1736,1361
1737,1819
1743,1257
1744,1804
1745,692
1746,153
1749,1850
1750,1371
1751,930
1752,657
1753,174
1756,2225
1757,1325
1758,1256
1759,1841
1761,2661
1762,1050
1765,2114
1767,333
1768,1832
1769,1818
1773,312
1776,384
1778,329
1781,1634
1782,16
1783,685
1784,2147
1786,2134
1787,195
1788,1316
1791,1
1793,880
1795,2630
1802,869
1805,992
1807,216
1808,797
1809,1575
1811,859
1813,355
1814,396
1816,2117
1817,613
1818,1356
1819,1917
1822,291
1823,220
1827,1412
1830,399
1831,415
1834,517
1835,149
1839,2017
1840,31
1841,2969
1842,2824
1843,1467
1844,1640
1845,1522
1846,1820
1847,2201
1848,98
1853,1140
1854,1738
1858,2346
1860,1066
1861,226
1862,1039
1863,1136
1867,2301
1872,1491
1874,254
1876,816
1877,584
1878,1830
1879,933
1881,91
1882,1481
1883,1024
1884,2993
1885,801
1889,338
1890,677
1891,182
1892,617
1895,202
1896,1419
1897,754
1898,1848
1899,973
1901,1069
1910,1615
1911,435
1912,224
1913,208
1917,1934
1918,382
1920,3724
1922,1284
1925,1403
1926,2102
1927,1767
1929,1587
1930,1180
1931,906
1932,756
1933,957
1934,1406
1936,665
1938,1731
1941,2449
1942,482
1944,1661
1946,830
1947,2317
1948,414
1952,2736
1956,802
1958,1906
1959,2543
1961,2251
1967,2598
1970,638
1971,2953
1975,259
1976,1720
1977,1608
1978,1471
1979,166
1981,600
1982,1437
1983,340
1984,434
1986,787
1987,1147
1988,2035
1990,393
1991,654
1995,124
1999,988
2000,1799
2001,535
2006,1008
2010,1991
2013,1882
2015,1682
2017,280
2021,893
2022,1717
2023,2397
2027,2168
2028,2541
2029,1240
2031,2484
2032,2476
2033,2848
2035,1558
2036,363
2037,2294
2038,1851
2039,1276
2040,1177
2043,2093
2045,1192
2047,299
2050,2059
2051,968
2053,2183
2054,1302
2056,1334
2058,1814
2059,475
2060,385
2061,1523
2062,2688
2063,1560
2064,2943
2065,2496
2066,987
2067,144
2068,379
2070,421
2071,1780
2076,1860
2077,1263
2078,991
2082,2742
2083,327
2084,185
2085,106
2086,1309
2087,139
2088,1867
2091,2154
2092,1997
2093,1674
2094,2094
2097,2721
2098,2104
2100,2369
2103,445
2106,1660
2108,771
2110,215
2111,567
2112,1190
2113,1941
2114,904
2115,2065
2116,1000
2117,1285
2118,1612
2119,290
2120,649
2122,1404
2124,632
2125,2293
2126,206
2128,1505
2129,1241
2130,1307
2134,822
2135,1425
2136,2945
2138,1297
2141,34
2142,1854
2143,2005
2146,1030
2148,128
2149,2699
2150,1331
2151,1162
2152,252
2153,1164
2154,636
2155,1115
2156,1990
2157,404
2158,1776
2159,250
2161,995
2162,689
2163,619
2164,1983
2165,947
2166,203
2167,1462
2168,978
2169,1753
2170,1413
2171,1047
2174,69
2175,717
2177,99
2178,1252
2180,1006
2181,2071
2182,2417
2184,1203
2189,190
2190,1628
2191,1080
2192,2412
2193,1148
2194,1439
2196,750
2197,2140
2198,537
2199,1375
2202,1502
2204,745
2205,993
2206,1565
2208,2364
2211,2008
2215,2350
2217,1170
2218,1054
2219,1610
2221,313
2223,581
2227,836
2228,2377
2229,837
2230,1517
2232,2516
2233,12
2234,2525
2236,644
2237,713
2238,2777
2240,742
2241,2141
2242,1209
2243,702
2244,962
2246,1281
2247,2018
2249,965
2250,320
2252,850
2253,698
2254,874
2257,1905
2258,218
2262,1187
2264,334
2265,1773
2266,1195
2270,1134
2271,2316
2272,1874
2273,1951
2275,1743
2278,1790
2280,1563
2281,1813
2282,112
2283,1029
2286,2153
2289,2333
2292,164
2293,861
2297,3004
2298,796
2299,939
2300,2067
2305,673
2306,1001
2307,2538
2308,1700
2311,1009
2312,318
2313,1474
2314,2204
2315,858
2317,942
2319,2542
2320,1542
2322,589
2325,2533
2327,630
2328,938
2329,1943
2330,842
2332,452
2333,1143
2334,1219
2338,1366
2339,2276
2340,1470
2341,2173
2342,348
2343,2450
2344,610
2345,253
2346,1306
2347,1212
2348,285
2349,423
2350,1730
2352,2244
2353,2443
2356,1702
2358,886
2364,1165
2366,146
2367,1920
2368,2061
2369,2218
2377,1271
2378,2535
2379,721
2381,1769
2386,470
2388,536
2393,1982
2395,141
2400,143
2403,1328
2404,695
2406,678
2407,1658
2409,2775
2410,921
2412,1912
2413,1512
2414,1395
2416,1866
2417,1453
2419,668
2422,2390
2424,459
2426,2626
2427,811
2429,1808
2435,2404
2436,458
2437,1472
2438,931
2440,1577
2443,2221
2444,2185
2446,950
2448,1708
2450,352
2453,1511
2454,1442
2457,2116
2458,920
2460,1482
2463,1538
2465,1728
2466,1326
2467,61
2470,926
2471,1044
2473,1198
2476,884
2477,1737
2478,1794
2479,2663
2480,1508
2482,1046
2483,2058
2487,1810
2489,2003
2491,2395
2493,1220
2494,533
2495,2178
2497,1173
2499,983
2502,1345
2504,2530
2506,1076
2508,1688
2509,852
2512,1786
2514,1174
2515,1524
2517,1736
2518,1433
2522,279
2523,2335
2524,1551
2525,1539
