goodreads_book_id,summary,genre,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,genre2
34,"Alternate Cover Edition ISBN 0618260269 (copyright page ISBN is 0618346252 - different from back cover)One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.--back cover","['Fantasy', 'Classics', 'Fiction']",19,34,3204327,566,618346252,9780618346260.0,J.R.R. Tolkien,1954, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,1766803,1832541,15333,38031,55862,202332,493922,1042394,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg,"['Fantasy', 'Classics', 'Fiction']"
50,"Brian is on his way to Canada to visit his estranged father when the pilot of his small prop plane suffers a heart attack. Brian is forced to crash-land the plane in a lake--and finds himself stranded in the remote Canadian wilderness with only his clothing and the hatchet his mother gave him as a present before his departure. Brian had been distraught over his parents' impending divorce and the secret he carries about his mother, but now he is truly desolate and alone. Exhausted, terrified, and hungry, Brian struggles to find food and make a shelter for himself. He has no special knowledge of the woods, and he must find a new kind of awareness and patience as he meets each day's challenges. Is the water safe to drink? Are the berries he finds poisonous? Slowly, Brian learns to turn adversity to his advantage--an invading porcupine unexpectedly shows him how to make fire, a devastating tornado shows him how to retrieve supplies from the submerged airplane. Most of all, Brian leaves behind the self-pity he has felt about his predicament as he summons the courage to stay alive. A story of survival and of transformation, this riveting book has sparked many a reader's interest in venturing into the wild.","['Young Adult', 'Fiction', 'Adventure', 'Classics', 'Childrens', 'Adventure', 'Survival']",388,50,1158125,93,689840926,9780689840920.0,Gary Paulsen,1986,Hatchet,"Hatchet (Brian's Saga, #1)",en-US,3.68,222553,231963,10378,12070,22390,59179,73180,65144,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"['YoungAdult', 'Fiction', 'Adventure', 'Classics', 'Childrens', 'Adventure', 'Survival']"
67,"One of the most acclaimed novels in recent memory, The Known World is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones.The Known World tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities.","['Historical', 'Historical Fiction', 'Fiction', 'Cultural', 'African American']",3504,67,1062798,42,61159174,9780061159180.0,Edward P. Jones,2003,The Known World,The Known World,eng,3.82,26550,29459,2825,831,2186,6907,11005,8530,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"['Historical', 'HistoricalFiction', 'Fiction', 'Cultural', 'AfricanAmerican']"
122,"In 1939, as Hitler casts his enormous, cruel shadow across the world, the seeds of apartheid take root in South Africa. There, a boy called Peekay is born. His childhood is marked by humiliation and abandonment, yet he vows to survive and conceives heroic dreams, which are nothing compared to what life actually has in store for him. He embarks on an epic journey through a land of tribal superstition and modern prejudice where he will learn the power of words, the power to transform lives and the power of one.","['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Africa', 'Classics']",1597,122,649656,82,034541005X,9780345410050.0,Bryce Courtenay,1989,The Power of One,"The Power of One (The Power of One, #1)",eng,4.34,57312,60575,4581,698,1628,6814,18645,32790,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"['Fiction', 'Historical', 'HistoricalFiction', 'Cultural', 'Africa', 'Classics']"
320,"Revised 28 March 2012Huh? Oh. Oh, man. Wow.I just had the  weirdest dream.There was this little town, right? And everybody had, like, the same two names. And there was this guy who lived under a tree and a lady who ate dirt and some other guy who just made little gold fishes all the time. And sometimes it rained and sometimes it didn’t, and… and there were fire ants everywhere, and some girl got carried off into the sky by her laundry…Wow. That was messed up.I need some coffee.The was roughly how I felt after reading this book. This is really the only time I’ve ever read a book and thought, “You know, this book would be awesome if I were stoned.” And I don’t even know if being stoned works on books that way.Gabriel Garcia Marquez (which is such a fun name to say) is one of those Writers You Should Read. You know the type – they’re the ones that everyone claims to have read, but no one really has. The ones you put in your online dating profile so that people will think you’re smarter than you really are. You get some kind of intellectual bonus points or something, the kind of highbrow cachet that you just don’t get from reading someone like Stephen King or Clive Barker.Marquez was one of the first writers to use “magical realism,” a style of fantasy wherein the fantastic and the unbelievable are treated as everyday occurrences. While I’m sure it contributed to the modern genre of urban fantasy – which also mixes the fantastic with the real – magical realism doesn’t really go out of its way to point out the weirdness and the bizarrity. These things just happen. A girl floats off into the sky, a man lives far longer than he should, and these things are mentioned in passing as though they were perfectly normal.In this case, Colonel Aureliano Buendia has seventeen illegitimate sons, all named Aureliano, by seventeen different women, and they all come to his house on the same day. Remedios the Beauty is a girl so beautiful that men just waste away in front of her, but she doesn’t even notice. The twins Aureliano Segundo and Jose Arcadio Segundo may have, in fact, switched identities when they were children, but no one knows for sure – not even them. In the small town of Macondo, weird things happen all the time, and nobody really notices. Or if they do notice that, for example, the town’s patriarch has been living for the last twenty years tied to a chestnut tree, nobody thinks anything is at all unusual about it.This, of course, is a great example of Dream Logic – the weird seems normal to a dreamer, and you have no reason to question anything that’s happening around you. Or if you do notice that something is wrong, but no one else seems to be worried about it, then you try to pretend like coming to work dressed only in a pair of spangly stripper briefs and a cowboy hat is perfectly normal.Another element of dreaminess that pervades this book is that there’s really no story here, at least not in the way that we have come to expect. Reading this book is kind of like a really weird game of The Sims - it’s about a family that keeps getting bigger and bigger, and something happens to everybody. So, the narrator moves around from one character to another, giving them their moment for a little while, and then it moves on to someone else, very smoothly and without much fanfare. There’s very little dialogue, so the story can shift very easily, and it often does.Each character has their story to tell, but you’re not allowed to linger for very long on any one of them before Garcia shows you what’s happening to someone else. The result is one long, continuous narrative about this large and ultimately doomed family, wherein the Buendia family itself is the main character, and the actual family members are secondary to that.It was certainly an interesting reading experience, but it took a while to get through. I actually kept falling asleep as I read it, which is unusual for me. But perhaps that’s what Garcia would have wanted to happen. By reading his book, I slipped off into that non-world of dreams and illusions, where the fantastic is commonplace and ice is something your father takes you to discover.------“[Arcadio] imposed obligatory military service for men over eighteen, declared to be public property any animals walking the streets after six in the evening, and made men who were overage wear red armbands. He sequestered Father Nicanor in the parish house under pain of execution and prohibited him from saying mass or ringing the bells unless it was for a Liberal victory. In order that no one would doubt the severity of his aims, he ordered a firing squad organized in the square and had it shoot a scarecrow. At first no one took him seriously.”","['Fiction', 'Classics', 'Magical Realism', 'Literature']",94,320,3295655,555,60531045,9780060531040.0,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,One Hundred Years of Solitude,eng,4.04,490565,575667,21671,27340,37646,87675,155809,267197,https://images.gr-assets.com/books/1327881361m/320.jpg,https://images.gr-assets.com/books/1327881361s/320.jpg,"['Fiction', 'Classics', 'MagicalRealism', 'Literature']"
343,"An acclaimed bestseller and international sensation, Patrick Suskind's classic novel provokes a terrifying examination of what happens when one man's indulgence in his greatest passion—his sense of smell—leads to murder.In the slums of eighteenth-century France, the infant Jean-Baptiste Grenouille is born with one sublime gift—an absolute sense of smell. As a boy, he lives to decipher the odors of Paris, and apprentices himself to a prominent perfumer who teaches him the ancient art of mixing precious oils and herbs. But Grenouille's genius is such that he is not satisfied to stop there, and he becomes obsessed with capturing the smells of objects such as brass doorknobs and fresh-cut wood. Then one day he catches a hint of a scent that will drive him on an ever-more-terrifying quest to create the ""ultimate perfume""—the scent of a beautiful young virgin. Told with dazzling narrative brilliance, Perfume is a hauntingly powerful tale of murder and sensual depravity.","['Fiction', 'Historical', 'Historical Fiction', 'Classics', 'Horror', 'Mystery', 'Thriller']",397,343,2977727,364,140120831,9780140120840.0,"Patrick Süskind, John E. Woods",1985,Das Parfum. Die Geschichte eines Mörders,Perfume: The Story of a Murderer,eng,4.0,178135,222754,10057,5659,12862,41804,78658,83771,https://images.gr-assets.com/books/1409112276m/343.jpg,https://images.gr-assets.com/books/1409112276s/343.jpg,"['Fiction', 'Historical', 'HistoricalFiction', 'Classics', 'Horror', 'Mystery', 'Thriller']"
357,"When a passenger check-in desk at London's Heathrow Airport disappears in a ball of orange flame, the explosion is deemed an act of God. But which god, wonders holistic detective Dirk Gently? What god would be hanging around Heathrow trying to catch the 3:37 to Oslo? And what has this to do with Dirk's latest--and late-- client, found only this morning with his head revolving atop the hit record ""Hot Potato""? Amid the hostile attentions of a stray eagle and the trauma of a very dirty refrigerator, super-sleuth Dirk Gently will once again solve the mysteries of the universe...","['Fiction', 'Fantasy', 'Science Fiction', 'Humor', 'Mystery']",1727,357,1096,82,671742515,9780671742520.0,Douglas Adams,1988,The Long Dark Tea-Time of the Soul,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",en-US,4.05,59276,63769,1458,393,2464,13614,24400,22898,https://images.gr-assets.com/books/1388257271m/357.jpg,https://images.gr-assets.com/books/1388257271s/357.jpg,"['Fiction', 'Fantasy', 'ScienceFiction', 'Humor', 'Mystery']"
360,"It’s easy to get disheartened when your planet has been blown up, the woman you love has vanished in a misunderstanding about space/time, the spaceship you are on crashes on a remote and Bob-fearing planet, and all you have to fall back on is a few simple sandwich-making skills. However, instead of being disheartened, Arthur Dent makes the terrible mistake of starting to enjoy life a bit and, immediately, all hell breaks loose.Hell takes a number of forms: there’s the usual Ford Prefect form of hell, fresh hell in the form of an all-new version of The Hitchhiker’s Guide to the Galaxy, and a totally unexpected hell in the form of a teenage girl who startles Arthur Dent by being his daughter when he didn’t even know he had one.Can Arthur save the Earth from total multidimensional obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter, Random, from herself? Of course not. He never works out what is going on, exactly. Will you?","['Science Fiction', 'Fiction', 'Humor', 'Fantasy']",1332,569429,2842984,107,345418778,9780345418780.0,Douglas Adams,1992,Mostly Harmless,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",en-US,3.96,72426,83424,1788,856,4729,20017,28884,28938,https://images.gr-assets.com/books/1320725132m/360.jpg,https://images.gr-assets.com/books/1320725132s/360.jpg,"['ScienceFiction', 'Fiction', 'Humor', 'Fantasy']"
365,"What do a dead cat, a computer whiz-kid, an Electric Monk who believes the world is pink, quantum mechanics, a Chronologist over 200 years old, Samuel Taylor Coleridge (poet), and pizza have in common? Apparently not much; until Dirk Gently, self-styled private investigator, sets out to prove the fundamental interconnectedness of all things by solving a mysterious murder, assisting a mysterious professor, unravelling a mysterious mystery, and eating a lot of pizza – not to mention saving the entire human race from extinction along the way (at no extra charge). To find out more, read this book (better still, buy it, then read it) – or contact Dirk Gently’s Holistic Detective Agency. ‘A thumping good detective-ghost-horror-whodunnit-time travel-romantic-musical-comedy epic.’ The author","['Science Fiction', 'Fiction', 'Fantasy', 'Humor', 'Mystery']",1042,365,1042123,83,671746723,9780671746730.0,Douglas Adams,1987,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),en-US,3.97,89569,96230,2408,993,4735,22168,36270,32064,https://images.gr-assets.com/books/1404697381m/365.jpg,https://images.gr-assets.com/books/1404697381s/365.jpg,"['ScienceFiction', 'Fiction', 'Fantasy', 'Humor', 'Mystery']"
475,"Brilliant, illuminating, and immensely absorbing, Collapse is destined to take its place as one of the essential books of our time, raising the urgent question: How can our world best avoid committing ecological suicide?In his million-copy bestseller Guns, Germs, and Steel, Jared Diamond examined how and why Western civilizations developed the technologies and immunities that allowed them to dominate much of the world. Now in this brilliant companion volume, Diamond probes the other side of the equation: What caused some of the great civilizations of the past to collapse into ruin, and what can we learn from their fates?As in Guns, Germs, and Steel, Diamond weaves an all-encompassing global thesis through a series of fascinating historical-cultural narratives. Moving from the Polynesian cultures on Easter Island to the flourishing American civilizations of the Anasazi and the Maya and finally to the doomed Viking colony on Greenland, Diamond traces the fundamental pattern of catastrophe. Environmental damage, climate change, rapid population growth, and unwise political choices were all factors in the demise of these societies, but other societies found solutions and persisted. Similar problems face us today and have already brought disaster to Rwanda and Haiti, even as China and Australia are trying to cope in innovative ways. Despite our own society's apparently inexhaustible wealth and unrivaled political power, ominous warning signs have begun to emerge even in ecologically robust areas like Montana.Brilliant, illuminating, and immensely absorbing, Collapse is destined to take its place as one of the essential books of our time, raising the urgent question: How can our world best avoid committing ecological suicide?","['Nonfiction', 'History', 'Science', 'Anthropology', 'Environment', 'Sociology']",1969,475,1041106,70,143036556,9780143036560.0,Jared Diamond,2004,Collapse: How Societies Chose to Fail or Succeed,Collapse: How Societies Choose to Fail or Succeed,en-GB,3.92,44238,47025,2667,779,2395,10680,19285,13886,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"['Nonfiction', 'History', 'Science', 'Anthropology', 'Environment', 'Sociology']"
